Classificação,Valor,Meses,Valor total
Pesquisador Sênior - Nível A,"R$ 7.000,00",10,"R$ 70.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",10,"R$ 70.000,00"
Pesquisador Sênior - Nível B,"R$ 5.000,00",10,"R$ 50.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",10,"R$ 40.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",10,"R$ 40.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",10,"R$ 40.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",10,"R$ 25.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",10,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",10,"R$ 25.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",10,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",10,"R$ 18.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",10,"R$ 18.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",10,"R$ 18.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.200,00",10,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.200,00",10,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.200,00",10,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",10,"R$ 10.000,00"
Total,-,-,"R$ 550.000,00"
