Classificação,Valor,Meses,Valor total
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível B,"R$ 5.000,00",12,"R$ 60.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",12,"R$ 48.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",12,"R$ 48.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 3.000,00",12,"R$ 36.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",12,"R$ 24.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",12,"R$ 24.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",12,"R$ 24.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",12,"R$ 21.600,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",12,"R$ 21.600,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",12,"R$ 21.600,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",12,"R$ 21.600,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 1.000,00",12,"R$ 12.000,00"
Total,-,-,"R$ 1.260.000,00"
